genus,species,wd
Acacia,auriculiformis,0.7
Acacia,farnesiana,0.8049999999999999
Acacia,macracantha,0.935
Acacia,mearnsii,0.585
Acacia,melanoxylon,0.585
Acacia,nilotica,0.8
Acacia,scleroxyla,0.9099999999999999
Adenanthera,pavonina,0.7
Albizia,guachapele,0.575
Albizia,lebbeck,0.555
Albizia,procera,0.75
Albizia,saman,0.53
Alchornea,latifolia,0.39
Alchorneopsis,floribunda,0.45
Alnus,acuminata,0.55
Amyris,,0.9500000000000001
Annona,,0.45
Araucaria,heterophylla,0.45
Artocarpus,,0.335
Avicennia,germinans,0.9
Azadirachta,indica,0.585
Beilschmiedia,pendula,0.54
Bixa,orellana,0.4
Brunellia,comocladiifolia,0.3
Buchenavia,capitata,0.585
Bucida,buceras,0.8400000000000001
Bursera,simaruba,0.33
Byrsonima,crassifolia,0.7
Byrsonima,spicata,0.585
Caesalpinia,coriaria,1.05
Calophyllum,calaba,0.46
Calycogonium,,0.74
Cananga,odorata,0.3
Canella,winterana,0.95
Capparis,flexuosa,0.825
Carapa,guianensis,0.585
Casearia,,0.7
Cassia,fistula,0.9
Casuarina,,0.99
Catalpa,longissima,0.7
Cecropia,peltata,0.33
Cedrela,odorata,0.485
Ceiba,pentandra,0.315
Chrysobalanus,icaco,0.8
Chrysophyllum,cainito,0.7
Chrysophyllum,oliviforme,0.9
Cinnamomum,elongatum,0.47
Cinnamomum,,0.52
Citharexylum,fruticosum,0.8
Clusia,clusiodes,0.9
Coccoloba,diversifolia,0.8
Coccoloba,leoganensis,0.895
Coccoloba,pubescens,1.05
Coccoloba,swartzii,0.7
Coccoloba,uvifera,0.7
Colubrina,arborescens,0.685
Colubrina,elliptica,0.8
Conocarpus,erectus,0.95
Cordia,alliodora,0.46
Cordia,sebestena,0.7
Cordia,,0.65
Cordia,sulcata,0.6
Crescentia,cujete,0.65
Cupania,americana,0.4
Cupressus,lusitanica,0.46
Cyrilla,racemiflora,0.53
Dalbergia,sisoo,0.8049999999999999
Delonix,regia,0.8
Dendropanax,arboreus,0.46
Diospyros,,0.7
Enterolobium,cyclocarpum,0.495
Erythrina,berteroana,0.3
Eucalyptus,globulus,0.7350000000000001
Eugenia,pseudopsidium,1.3
Exostema,caribaem,1.055
Ficus,citrifolia,0.4
Ficus,microcarpa,0.5
Garcinia,,0.7150000000000001
Genipa,americana,0.5900000000000001
Gliricidia,sepium,0.61
Gmelina,arborea,0.46
Grevillea,robusta,0.46
Guaiacum,,1.095
Guarea,,0.525
Guatteria,blainii,0.8
Guazuma,ulmifolia,0.5
Guettarda,,0.815
Gymnanthes,lucida,1.1
Haematoxylum,brasiletto,0.8049999999999999
Haematoxylum,campechianum,0.745
Hernandia,sonora,0.29
Hevea,brasiliensis,0.46
Hibiscus,elatus,0.585
Hibiscus,tiliaceus,0.6
Hippomane,mancinella,0.5
Homalium,racemosum,0.77
Hura,crepitans,0.33
Hyeronima,,0.65
Hymenaea,courbaril,0.7649999999999999
Ilex,,0.77
Inga,fagifolia,0.62
Inga,vera,0.6599999999999999
Juglans,jamaicensis,0.46
Krugiodendron,ferreum,1.0
Laetia,procera,0.75
Lagerstroemia,speciosa,0.55
Laguncularia,racemosa,0.7
Leucaena,leucocephala,0.645
Leucaena,leucocephala,0.7
Licaria,triandra,0.8200000000000001
Lonchocarpus,,0.69
Lysiloma,sabicu,0.585
Magnolia,,0.55
Mammea,americana,0.62
Mangifera,indica,0.515
Manilkara,bidentata,0.85
Margaritaria,nobilis,0.9
Matayba,domingensis,0.7
Maytenus,,0.7050000000000001
Melaleuca,quiquenervia,0.65
Melia,azedarach,0.46
Meliosma,herbertii,0.42
Micropholis,,0.65
Mimosa,scabrella,0.56
Myrcia,deflexa,0.8
Myristica,fragrans,0.525
Myroxylon,balsamum,0.775
Myrsine,coriacea,0.7
Neolaugeria,resinosa,0.8
Nerium,oleander,0.6
Ochroma,pyramidale,0.24
Ocotea,leucoxylon,0.45
Ocotea,membranacea,0.45
Ocotea,sintensisii,0.55
Ormosia,krugii,0.5900000000000001
Oxandra,lanceolata,0.81
Parkinsonia,aculeata,0.615
Persea,americana,0.525
Petitia,domingensis,0.66
Phyllanthus,acidus,0.6
Phyllostylon,brasiliense,0.785
Pictetia,aculeata,0.8
Pictetia,spinifolia,1.1400000000000001
Pimenta,racemosa,0.9
Pinus,caribaea,0.52
Pinus,occidentalis,0.6699999999999999
Piptadenia,peregrina,0.66
Pisonia,rotundata,0.5
Pithecellobium,arboreum,0.7
Pithecellobium,circinale,1.0150000000000001
Pithecellobium,dulce,0.635
Podocarpus,,0.455
Pouteria,sapota,0.6
Prosopis,juliflora,0.8
Prunus,occidentalis,0.9750000000000001
Psidium,guajava,0.8
Pterocarpus,officinalis,0.7150000000000001
Rhizophora,mangle,0.89
Sapindus,saponaria,0.8
Sapium,,0.45
Schefflera,morototoni,0.45
Senna,atomaria,0.71
Senna,siamea,0.7
Sideroxylon,portoricense,0.9
Sideroxylon,salicifolium,0.9450000000000001
Simarouba,,0.375
Sloanea,berteriana,0.8
Spondias,mombin,0.33
Sterculia,apetala,0.33
Swietenia,macrophylla,0.54
Swietenia,mahagoni,0.685
Symphonia,globulifera,0.585
Syzygium,jambos,0.7
Tabebuia,,0.585
Tamarindus,indica,0.8500000000000001
Tectona,grandis,0.585
Terminalia,catappa,0.515
Tetragastris,,0.7050000000000001
Trema,micrantha,0.4
Trichilia,hirta,0.5
Trophis,racemosa,0.535
Vitex,divaricata,0.5700000000000001
Ximenia,americana,0.95
Zanthoxylum,flavum,0.775
Zanthoxylum,martinicense,0.56
Zanthoxylum,monophyllum,0.76
Ziziphus,,0.9
